sum = 488117
nV = 500
14 396 909
49 50 914
95 327 914
294 428 924
76 216 929
424 425 941
155 209 944
169 425 951
97 195 975
328 464 977
82 322 981
49 125 993
307 308 997
120 358 1023
29 83 1029
2 157 1036
20 307 1045
197 208 1046
473 500 1052
87 88 1058
167 445 1085
145 274 1112
252 314 1118
196 340 1123
146 413 1128
133 191 1140
171 172 1141
102 455 1154
127 315 1159
242 368 1164
53 54 1179
227 477 1183
368 421 1195
463 477 1205
251 257 1209
403 498 1210
175 185 1216
34 357 1218
119 120 1231
268 277 1239
121 194 1265
41 286 1270
193 194 1272
183 431 1276
81 373 1288
334 480 1301
289 439 1304
236 469 1319
152 427 1339
40 143 1350
357 450 1350
182 480 1362
127 406 1382
154 303 1382
423 493 1392
43 431 1393
132 193 1400
73 165 1423
100 241 1434
104 140 1441
243 470 1449
21 352 1462
228 472 1465
173 174 1467
363 364 1476
120 240 1483
71 429 1518
93 399 1519
464 465 1534
359 495 1554
209 210 1564
244 265 1566
140 235 1573
486 487 1576
249 438 1582
129 130 1584
75 159 1589
161 218 1596
397 398 1603
45 219 1607
56 239 1609
146 330 1615
56 214 1623
388 389 1623
65 200 1627
92 437 1630
51 177 1630
136 183 1647
192 435 1662
61 338 1664
119 150 1666
395 479 1669
129 426 1670
354 410 1672
237 459 1672
78 328 1681
4 266 1686
456 474 1691
97 339 1693
5 6 1728
197 435 1743
134 187 1752
222 338 1753
245 246 1757
94 95 1773
314 496 1787
90 165 1787
411 445 1797
31 272 1807
83 285 1818
412 413 1827
223 407 1829
118 204 1840
60 98 1851
200 272 1856
263 264 1858
467 468 1867
65 66 1867
72 399 1870
313 374 1879
28 93 1885
181 488 1886
63 364 1907
59 60 1910
222 407 1917
137 471 1919
479 480 1924
257 258 1925
134 472 1927
342 489 1939
21 175 1947
25 315 1949
174 495 1955
152 363 1994
317 318 1999
242 339 2001
326 327 2013
226 459 2031
137 138 2039
92 143 2041
88 158 2060
184 465 2062
31 232 2075
36 301 2079
34 439 2083
32 462 2102
251 453 2129
401 402 2130
194 195 2135
89 90 2141
325 471 2162
115 480 2162
259 420 2164
313 495 2173
167 440 2182
136 137 2192
136 331 2192
292 412 2192
165 166 2192
197 250 2194
8 432 2206
491 492 2219
455 456 2231
286 426 2255
356 357 2271
26 436 2275
33 392 2279
368 493 2282
166 167 2283
173 203 2295
105 324 2296
385 422 2303
38 179 2305
177 445 2306
80 166 2315
104 375 2320
255 272 2320
111 385 2328
330 331 2329
304 305 2356
255 495 2356
84 246 2363
459 478 2393
340 407 2399
67 68 2402
82 442 2404
16 49 2410
49 459 2431
355 356 2435
137 163 2456
67 317 2463
88 100 2465
97 98 2472
293 294 2480
180 298 2504
104 278 2508
223 358 2512
88 89 2518
50 177 2525
178 232 2530
130 436 2551
4 247 2557
188 479 2577
84 85 2583
477 478 2587
17 317 2595
168 169 2596
78 466 2597
145 169 2619
79 164 2631
86 250 2638
40 161 2640
411 412 2647
131 157 2660
136 210 2663
79 368 2668
60 427 2681
370 371 2687
51 52 2704
457 500 2717
339 369 2718
173 213 2724
303 304 2745
287 459 2745
212 423 2755
220 269 2763
224 482 2769
8 359 2771
49 196 2779
109 140 2797
331 332 2798
18 279 2815
290 465 2827
203 204 2830
343 424 2842
61 429 2849
253 402 2856
92 493 2864
127 213 2868
268 487 2888
95 487 2890
91 451 2897
152 153 2907
238 377 2927
494 495 2927
62 286 2939
27 30 2964
150 251 3004
42 63 3020
103 104 3034
259 285 3037
189 498 3052
328 329 3052
37 38 3054
195 355 3065
419 420 3067
248 478 3078
176 289 3109
23 198 3114
63 64 3116
264 451 3117
392 465 3120
156 248 3123
131 163 3125
59 257 3130
316 462 3135
105 486 3139
104 370 3153
115 129 3161
159 378 3173
75 227 3195
26 80 3206
438 479 3219
214 376 3221
153 281 3249
186 199 3250
86 244 3250
79 278 3258
327 328 3270
388 481 3277
240 339 3282
65 474 3282
205 252 3285
108 177 3287
59 267 3293
85 86 3295
27 189 3311
349 398 3335
296 454 3345
211 230 3348
341 342 3352
275 349 3353
137 146 3355
40 387 3360
18 241 3362
168 421 3367
216 217 3374
407 408 3378
15 287 3395
357 358 3410
120 296 3413
222 292 3415
250 446 3422
102 402 3423
196 219 3442
314 315 3445
296 459 3449
191 355 3463
127 402 3465
103 229 3466
91 373 3480
46 382 3499
46 452 3501
125 126 3510
249 313 3515
111 142 3534
449 450 3537
367 412 3542
278 279 3542
236 237 3563
35 493 3571
274 299 3577
153 200 3578
89 451 3579
164 448 3596
358 386 3609
351 426 3612
56 57 3613
65 128 3617
193 360 3623
234 400 3627
1 414 3655
56 141 3669
139 152 3671
203 412 3675
33 102 3685
296 297 3695
369 376 3704
38 246 3710
21 167 3714
190 256 3716
125 248 3739
247 343 3748
93 477 3753
219 290 3758
160 247 3760
24 297 3760
189 190 3768
347 466 3771
133 490 3785
192 339 3794
101 102 3812
312 363 3816
66 67 3816
153 404 3817
38 471 3819
74 433 3831
154 155 3872
378 465 3894
390 417 3903
196 197 3904
265 496 3908
358 382 3911
83 84 3926
34 375 3935
219 396 3953
186 298 3968
156 172 3969
59 445 3970
228 234 4008
260 415 4024
117 217 4024
208 232 4028
245 436 4045
415 416 4052
183 408 4053
127 434 4078
273 314 4107
26 432 4115
166 495 4133
16 93 4136
207 385 4137
257 339 4157
32 213 4162
362 427 4182
304 384 4189
60 456 4219
157 345 4230
161 439 4256
166 285 4258
194 331 4260
50 65 4266
65 86 4268
10 168 4271
13 152 4272
226 263 4293
11 43 4323
118 359 4336
315 411 4342
230 311 4350
221 304 4355
26 27 4358
106 286 4375
44 317 4376
236 477 4382
255 256 4382
89 320 4386
60 61 4401
123 167 4408
361 377 4408
4 5 4414
222 473 4443
77 143 4466
23 24 4472
259 260 4493
25 328 4495
381 382 4514
78 188 4530
17 92 4535
101 408 4550
429 453 4573
119 434 4597
466 467 4613
94 405 4629
78 206 4630
105 106 4633
43 168 4635
102 103 4658
90 216 4668
70 480 4684
473 474 4696
201 304 4721
382 499 4725
44 231 4764
386 387 4775
343 344 4775
176 422 4779
37 476 4790
267 317 4793
201 324 4802
291 343 4818
307 314 4842
289 290 4849
65 340 4849
280 281 4856
487 488 4881
99 362 4890
314 500 4895
70 398 4925
210 211 4944
164 165 4948
42 131 4949
496 497 4963
343 378 4970
427 451 4970
291 420 4993
79 258 5017
143 144 5026
112 265 5067
14 492 5070
152 391 5083
309 456 5089
179 425 5093
298 367 5118
332 333 5123
105 391 5124
273 291 5124
342 343 5124
253 263 5128
28 260 5134
68 131 5136
24 42 5136
64 68 5150
31 70 5151
65 496 5155
4 388 5176
46 372 5199
90 484 5215
339 340 5217
103 109 5221
99 119 5223
81 82 5234
429 430 5251
387 388 5259
9 495 5260
89 247 5263
31 475 5263
341 420 5265
13 14 5273
221 246 5281
207 208 5289
234 266 5292
76 102 5298
339 395 5299
301 302 5299
62 318 5306
3 303 5310
62 270 5311
294 327 5312
39 170 5316
41 281 5319
297 498 5345
98 382 5352
132 133 5355
235 336 5364
17 185 5372
286 414 5381
24 268 5400
426 427 5422
122 247 5422
20 21 5436
384 480 5442
403 404 5488
79 99 5505
184 185 5507
285 473 5517
45 46 5533
223 243 5533
330 344 5534
82 158 5544
249 250 5555
336 339 5558
347 392 5563
153 154 5564
359 360 5567
60 151 5579
207 348 5600
200 201 5606
124 235 5613
174 291 5666
142 319 5686
95 259 5691
60 158 5691
43 258 5745
319 320 5770
224 225 5777
45 436 5789
272 273 5789
73 448 5790
277 279 5868
61 372 5879
57 58 5888
116 117 5890
17 248 5899
146 147 5902
231 232 5904
54 208 5922
17 272 5930
239 452 5937
185 320 5947
322 323 5951
305 315 5953
229 449 5955
13 61 5960
481 482 5965
276 450 5965
17 376 5972
168 197 5974
338 360 6010
129 157 6011
243 487 6043
115 124 6054
217 292 6055
170 172 6055
308 309 6059
180 181 6062
103 314 6070
274 468 6070
334 484 6071
27 99 6073
157 354 6083
313 314 6085
21 185 6092
228 229 6101
117 459 6122
250 251 6155
209 305 6161
317 427 6162
340 386 6167
122 370 6170
176 207 6188
95 174 6189
11 469 6195
298 361 6214
306 307 6215
368 465 6223
183 193 6227
274 344 6229
171 449 6235
242 243 6243
25 278 6246
2 25 6267
276 431 6269
12 277 6273
252 414 6273
182 340 6280
80 440 6285
205 206 6293
239 240 6294
96 390 6294
204 243 6298
285 286 6301
34 417 6302
399 445 6302
36 178 6305
135 436 6307
344 345 6317
161 484 6320
217 475 6329
215 216 6331
354 355 6334
396 459 6338
62 83 6359
4 423 6365
288 372 6372
389 390 6391
26 94 6394
120 121 6409
187 486 6414
431 432 6416
372 387 6424
117 451 6425
48 396 6428
212 213 6432
268 450 6463
38 365 6473
170 171 6480
144 256 6490
348 397 6497
172 314 6500
81 143 6518
424 472 6518
43 123 6522
136 142 6535
350 378 6543
333 482 6547
18 451 6558
169 461 6563
394 398 6573
320 375 6582
301 384 6586
65 444 6600
44 456 6604
263 447 6606
404 405 6613
368 380 6629
35 315 6631
75 424 6637
256 375 6639
21 285 6656
167 379 6664
41 336 6677
266 441 6677
333 334 6680
226 446 6681
104 105 6682
264 493 6685
223 473 6710
1 244 6723
297 493 6739
234 369 6746
364 415 6754
386 438 6767
266 372 6772
114 415 6795
183 237 6799
83 183 6801
148 185 6802
1 2 6807
141 484 6820
16 248 6820
283 468 6833
183 415 6853
51 223 6854
130 131 6869
383 384 6887
203 331 6905
44 66 6927
52 455 6943
145 437 6956
111 202 6971
382 405 6975
203 253 6998
407 488 7000
102 191 7036
98 143 7044
295 437 7082
55 56 7095
126 191 7096
185 213 7099
33 413 7099
118 457 7143
91 92 7151
144 145 7151
222 488 7164
286 428 7164
298 299 7174
188 351 7176
8 162 7179
83 325 7198
154 337 7203
297 298 7216
91 149 7220
289 383 7223
284 285 7229
432 433 7244
474 491 7245
24 25 7258
438 439 7262
31 221 7268
208 448 7275
95 309 7280
